Serial No.,Industry,Project,Location/Address,Sate,Company ,Partners,Foreign Partners ,Ivestment amount,Funding + Source,Type of Entity,Link Source,Date of Launch,Status of the project
1,Solar ,SECI Sembcorp Wind ,,Tamil Nadu ,Solar Energy Corporation of India ,,Sembcorp Indutsries ,,,Public ,https://www.livemint.com/industry/energy/sembcorp-completes-800mw-of-seci-wind-power-projects-11596024978746.html,,Completed 
2,Solar ,Karnataka PV Solar Farm,,Karnataka,Karnataka Renewable Energy Development Ltd (KREDL) Solar Energy Corporation of India (SECI),Tata Power Renewable Energy Ltd,,,,Public ,Karnataka Renewable Energy Development Ltd (KREDL) and the Solar Energy Corporation of India (SECI),,Completed 
3,Wind ,"Bhuj Wind
",,Gujarat,Solar Energy Corporation of India SECI ,,Sembcorp Industries ,,,Public ,https://economictimes.indiatimes.com/industry/energy/power/sembcorp-commissions-200-mw-wind-power-project-in-bhuj-sees-rise-in-profitability/articleshow/70700750.cms?from=mdr,,Completed 
4,Wind ,Kutch Wind ,,Gujarat,Ostro Kutch Wind Pvt Ltd ,,Asian Development Bank,,,Private ,https://renewablewatch.in/2018/08/31/ostro-kutch-wind-commissions-126-mw-wind-power-capacity-gujarat/,,Ongoing
5,Fishing  ,Enhancing climate resilience of India’s coastal communities,,India,Green Climate Fund,,UNDP,,,Public ,https://www.greenclimate.fund/project/fp084,,Ongoing
6,Solar ,,Pune ,Maharashtra ,ZTRIC,,,,,,,,
7,Solar ,"Utility Scale Solar, Renew Power Project ","Cumbum Mandal, Distt. Prakasham, Andhra Pradesh",Andhra Pradesh ,Renew Power ,,,,,,,2014,
8,Solar ,"Utility Scale Solar, Renew Power Project ","Adoni Distt. Kurnool, Andhra Pradesh",Andhra Pradesh ,Renew Power ,,,,,,,2014,
9,Solar ,"Utility Scale Solar, Renew Power Project ","Village Bijeypur, Distt. Sheopur, Madhya Pradesh",MP,Renew Power ,,,,,Private ,,2014,
10,Agriculture,"
Enviornment Integrity Ensurance Program  (2019-20) ","Haldia, Porbandar, Mithapur ","West Bengal, Gujarat, Gujarat",Tata Chemicals Ltd,,,,,Public ,,,Completed
11,Solar ,Fortum Finnsurya Energy Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
12,Solar ,Gujarat State Electricity Corporation Ltd.,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
13,Solar ,Gujarat Power Corporation Ltd.,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
14,Solar ,SEI Sitara Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
15,Solar ,SEI L'Volta Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
16,Solar ,Rishabh Renergy Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
17,Solar ,SEI Suryalabh Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
18,Solar ,RDA Energy Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
19,Solar ,Palimarwar Solar Project Pvt Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
20,Solar ,Clean Solar Power (Dhar) Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
21,Solar ,Clean Solar Power (Dhar) Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
22,Solar ,Clean Solar Power (Dhar) Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
23,Solar ,Welspun Solar UP Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
24,Solar ,Suryauday Solaire Prakash Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
25,Solar ,Azure Clean Energy Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
26,Solar ,Vishwaj Energy Pvt. Ltd.,,Maharashtra,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
27,Solar ,IL&FS Energy Development Company Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
28,Solar ,IL&FS Energy Development Company Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
29,Solar ,Azure Sunshine Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
30,Solar ,Azure Green Tech Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Private ,,28.03.2014,Completed 
31,Wind ,Green Infra Renewable Energy Limited,,Tamil Nadu,Solar Energy Corporation of India SECI ,,,,,Public ,https://www.seci.co.in/wind-power-projects-status,28.03.2014,Completed 
32,Wind ,Wind One Renergy Private Limited,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Public ,https://www.seci.co.in/wind-power-projects-status,28.03.2014,Completed 
33,Wind ,Wind Two Renergy Private Limited,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Public ,https://www.seci.co.in/wind-power-projects-status,28.03.2014,Completed 
34,Wind ,Wind Three Renergy Private Limited,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Public ,https://www.seci.co.in/wind-power-projects-status,28.03.2014,Completed 
35,Solar ,Medha Energy Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
36,Solar ,ACME Rajdhani Power Pvt. Ltd.,,Rajasthan,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
37,Solar ,Sharda Construction and Corporation Pvt. Ltd.,,Maharashtra,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
38,Solar ,Focal Photovoltaic India Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
39,Solar ,Focal Renewable Energy Two India Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
40,Solar ,Focal Energy Solar One India India Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
41,Solar ,Waaneep Solar Pvt. Ltd.,,Madhya Pradesh,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
42,Solar ,Karnataka Power Corporation Ltd.,,Karnataka,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
43,Solar ,Sunil Hitech Solar (Dhule) Pvt. Ltd.,,Maharashtra,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
44,Solar ,Swelect Energy Systems Ltd.,,Tamil Nadu,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
45,Solar ,Backbone Enterprises Ltd.,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
46,Solar ,Enersan Power Pvt. Ltd.,,Gujarat,Solar Energy Corporation of India SECI ,,,,,Public ,,28.03.2014,Completed 
